ref_num,area,city,district,Mukatat,date,property_classification,property_type,number_of_properties,price,space,Price_per_square_meter
18890600,منطقة الرياض,الخرج,غرب الهياثم,151,1/1/2023,سكني,قطعة أرض,1,168938,318.75,530.0015
18923186,منطقة الرياض,الافلاج,أخرى,أخرى,1/1/2023,سكني,قطعة أرض,1,32000,630.0,50.7936
18920819,منطقة الرياض,الافلاج,الريان,872,1/1/2023,سكني,قطعة أرض,1,60000,690.0,86.9565
18923523,منطقة الرياض,الخرج,حي/أخرى,أخرى,1/1/2023,سكني,قطعة أرض,1,20000,630.0,31.746
18909006,منطقة الرياض,الخرج,الاندلس,أخرى,1/1/2023,سكني,قطعة أرض,1,140000,333.0,420.4204
18857540,منطقة الرياض,الخرج,الخالديه,97,1/1/2023,سكني,قطعة أرض,1,50000,380.0,131.5789
18902889,منطقة الرياض,الخرج,حي/أخرى,أخرى,1/1/2023,سكني,بيت,1,100000,275.0,363.6363
18920141,منطقة الرياض,الخرج,العفجه,أخرى,1/1/2023,زراعي,أرض زراعية,1,400000,5000.0,80.0
18919935,منطقة الرياض,الخرج,الفيصلية,1646,1/1/2023,سكني,قطعة أرض,1,340000,500.0,680.0
18919958,منطقة الرياض,الخرج,الفيصلية,1646,1/1/2023,سكني,قطعة أرض,1,374000,550.0,680.0
18915485,منطقة الرياض,الخرج,الورود,1209,1/1/2023,زراعي,شقة,1,475000,244.13,1945.6846
18915704,منطقة الرياض,الخرج,اليرموك,1009,1/1/2023,سكني,قطعة أرض,1,1335120,620.0,2153.4193
18890706,منطقة الرياض,الخرج,غرب الهياثم,151,1/1/2023,سكني,قطعة أرض,1,168938,318.75,530.0015
18890043,منطقة الرياض,الخرج,غرب الهياثم,151,1/1/2023,سكني,قطعة أرض,1,189014,356.36,530.4018
18890586,منطقة الرياض,الخرج,غرب الهياثم,151,1/1/2023,سكني,قطعة أرض,1,168938,318.75,530.0015
18890650,منطقة الرياض,الخرج,غرب الهياثم,151,1/1/2023,سكني,قطعة أرض,1,168938,318.75,530.0015
18890246,منطقة الرياض,الخرج,غرب الهياثم,151,1/1/2023,سكني,قطعة أرض,1,168938,318.75,530.0015
18890290,منطقة الرياض,الخرج,غرب الهياثم,151,1/1/2023,سكني,قطعة أرض,1,168938,318.75,530.0015
18890793,منطقة الرياض,الخرج,غرب الهياثم,151,1/1/2023,سكني,قطعة أرض,1,168938,318.75,530.0015
18918578,منطقة الرياض,الخرج,غرب الهياثم,151,1/1/2023,سكني,قطعة أرض,1,198900,331.5,600.0
18918485,منطقة الرياض,الخرج,غرب الهياثم,151,1/1/2023,سكني,قطعة أرض,1,207492,345.82,600.0
